STT,PCS,Location,Alley_Number,Quantity,Coord,ProductID,DateProduct,SubProductID,QuantityTaken,WaveID
0,1,A1119504,A11,0,"[19.5, 21.0, 1]",A1117,12/11/2018,A1117_1,4,1
15,1,A0322308,A03,15,"[44.25, 22.5, 1]",A0322,12/11/2018,A0322_1,5,1
21,1,A1011204,A10,15,"[22.75, 15.0, 1]",A1011,12/11/2018,A1011_1,5,1
23,1,A0410303,A04,15,"[41.0, 13.5, 1]",A0410,12/11/2018,A0410_1,5,1
24,1,A0507401,A05,15,"[39.0, 12.0, 1]",A0507,12/11/2018,A0507_1,5,1
25,1,A0306304,A03,15,"[44.25, 10.5, 1]",A0306,12/11/2018,A0306_1,5,1
26,1,A1004103,A10,15,"[20.75, 9.0, 1]",A1004,12/11/2018,A1004_1,5,1
28,1,A0413203,A04,15,"[42.25, 16.5, 1]",A0413,12/11/2018,A0413_1,5,1
29,1,A1117201,A11,19,"[19.5, 19.5, 1]",A1117,12/11/2018,A1117_2,1,1
33,2,A1120101,A11,1,"[15.25, 21.0, 1]",A1120,12/11/2018,A1120_1,5,1
37,1,A0321403,A03,15,"[45.5, 22.5, 1]",A0321,12/11/2018,A0321_1,5,1
43,1,A0320505,A03,15,"[44.25, 21.0, 1]",A0320,12/11/2018,A0320_1,5,1
47,1,A0506502,A05,15,"[37.75, 10.5, 1]",A0506,12/11/2018,A0506_1,5,1
50,1,A0621204,A06,15,"[35.75, 22.5, 1]",A0621,12/11/2018,A0621_1,5,1
1,1,A0721204,A07,9,"[32.5, 22.5, 1]",A0721,12/11/2018,A0721_1,11,2
99,1,A0313306,A03,10,"[45.5, 16.5, 1]",A0714,12/11/2018,A0714_1,10,2
1,1,A0721204,A07,0,"[32.5, 22.5, 1]",A0721,12/11/2018,A0721_1,9,3
5,1,A0308201,A03,15,"[44.25, 12.0, 1]",A0308,12/11/2018,A0308_1,5,3
6,1,A0403203,A04,10,"[42.25, 9.0, 1]",A0403,12/11/2018,A0403_1,10,3
11,1,A0721204,A07,19,"[31.25, 16.5, 1]",A0721,12/11/2018,A0721_2,1,3
29,1,A1117201,A11,14,"[19.5, 19.5, 1]",A1117,12/11/2018,A1117_2,5,3
