STT,DATE,OrderNumber,Coord,OrderID,WaveID
0,12/11/2018,1,"[19.5, 21.0]",1,0
26,12/11/2018,9,"[20.75, 9.0]",2,0
27,12/11/2018,9,"[47.5, 6.0]",2,0
28,12/11/2018,10,"[42.25, 16.5]",3,0
29,12/11/2018,10,"[44.25, 13.5]",3,0
30,12/11/2018,10,"[39.0, 12.0]",3,0
31,12/11/2018,10,"[19.5, 19.5]",3,0
32,12/11/2018,10,"[31.25, 16.5]",3,0
33,12/11/2018,11,"[15.25, 21.0]",4,0
34,12/11/2018,11,"[44.25, 6.0]",4,0
35,12/11/2018,11,"[19.5, 21.0]",4,0
36,12/11/2018,11,"[19.5, 21.0]",4,0
37,12/11/2018,11,"[45.5, 22.5]",4,0
38,12/11/2018,12,"[19.5, 21.0]",5,0
39,12/11/2018,12,"[45.5, 13.5]",5,0
40,12/11/2018,12,"[26, 21.0]",5,0
41,12/11/2018,12,"[19.5, 21.0]",5,0
42,12/11/2018,12,"[19.5, 21.0]",5,0
43,12/11/2018,12,"[44.25, 21.0]",5,0
44,12/11/2018,12,"[44.25, 22.5]",5,0
45,12/11/2018,12,"[19.5, 21.0]",5,0
46,12/11/2018,12,"[19.5, 21.0]",5,0
25,12/11/2018,8,"[44.25, 10.5]",6,0
47,12/11/2018,12,"[37.75, 10.5]",5,0
24,12/11/2018,8,"[39.0, 12.0]",6,0
22,12/11/2018,8,"[19.5, 21.0]",6,0
1,12/11/2018,1,"[32.5, 22.5]",1,0
2,12/11/2018,1,"[19.5, 21.0]",1,0
3,12/11/2018,2,"[31.25, 10.5]",7,1
4,12/11/2018,2,"[47.5, 18.0]",7,1
5,12/11/2018,2,"[44.25, 12.0]",7,1
6,12/11/2018,3,"[42.25, 9.0]",8,1
7,12/11/2018,3,"[39.0, 9.0]",8,1
8,12/11/2018,4,"[20.75, 21.0]",9,1
9,12/11/2018,5,"[44.25, 10.5]",10,1
10,12/11/2018,5,"[32.5, 21.0]",10,1
11,12/11/2018,5,"[31.25, 16.5]",10,1
12,12/11/2018,5,"[31.25, 16.5]",10,1
13,12/11/2018,6,"[45.5, 13.5]",11,1
14,12/11/2018,6,"[34.5, 12.0]",11,1
15,12/11/2018,6,"[44.25, 22.5]",11,1
16,12/11/2018,7,"[19.5, 21.0]",12,1
17,12/11/2018,7,"[19.5, 21.0]",12,1
18,12/11/2018,7,"[35.75, 13.5]",12,1
19,12/11/2018,7,"[22.75, 15.0]",12,1
20,12/11/2018,8,"[31.25, 16.5]",6,0
21,12/11/2018,8,"[22.75, 15.0]",6,0
23,12/11/2018,8,"[41.0, 13.5]",6,0
48,12/11/2018,12,"[26, 21.0]",5,0
